"Client"	"RegistrationDt"	"Age"	"Gender"	"MaritalStatus"	"HasChildren"	"NumChildren"	"PostalCode"	"Zone"	"City"
"154"	"104842598"	"2009-11-20 00:00:00.000"	76	"F"	""	"N"	0	"4050-070"	"PORTO"	"PORTO"
"155"	"104866772"	"2009-04-24 00:00:00.000"	75	"F"	"M"	"Y"	1	"4435-247"	"RIO TINTO - GONDOMAR"	"RIO TINTO"
"156"	"104930349"	"2014-09-05 00:00:00.000"	42	"F"	"M"	"N"	3	"4745-563"	"PORTO"	"SÃO ROMÃO CORONADO"
"157"	"104960183"	"2013-10-07 00:00:00.000"	63	"M"	"M"	"Y"	2	"4050-371"	"PORTO"	"PORTO"
"158"	"104960191"	"2008-08-04 00:00:00.000"	68	"M"	""	"Y"	1	"4470-193"	"PORTO"	"MAIA"
"159"	"104960892"	"2013-10-15 00:00:00.000"	75	"F"	"S"	"Y"	1	"4700-401"	"BRAGA"	"BRAGA"
"160"	"104976080"	"2009-06-12 00:00:00.000"	63	"M"	"S"	"Y"	1	"4250-013"	"PORTO"	"PORTO"
"161"	"104977612"	"2012-01-31 00:00:00.000"	57	"M"	"M"	"Y"	1	"4420-567"	"RIO TINTO - GONDOMAR"	"VALBOM GDM"
"162"	"105016861"	"2013-08-28 00:00:00.000"	54	"F"	"M"	"Y"	1	"4430-121"	"PORTO"	"V.N.GAIA"
"163"	"105017094"	"2009-04-07 00:00:00.000"	53	"M"	"S"	"Y"	2	"4150-170"	"PORTO"	"PORTO"
"164"	"105023957"	"2008-01-01 00:00:00.000"	54	"M"	"S"	"N"	0	"4250-033"	"PORTO"	"PORTO"
"165"	"105046205"	"2010-08-10 00:00:00.000"	57	"F"	"S"	"Y"	4	"3880-038"	"OUTROS"	"OVAR"
"166"	"105079804"	"2013-08-28 00:00:00.000"	62	"M"	""	"Y"	3	"3830-153"	"OUTROS"	"ÍLHAVO"
"167"	"105148539"	"2009-11-20 00:00:00.000"	57	"M"	"S"	"N"	0	"4200-320"	"PORTO"	"PORTO"
"168"	"105393797"	"2008-10-09 00:00:00.000"	80	"M"	""	"N"	0	"4050-157"	"PORTO"	"PORTO"
"169"	"105394084"	"2008-09-25 00:00:00.000"	64	"F"	"S"	"N"	0	"4445-385"	"PORTO"	"ERMESINDE"
"170"	"105394424"	"2009-04-07 00:00:00.000"	64	"M"	"S"	"N"	0	"4300-069"	"PORTO"	"PORTO"
"171"	"105430110"	"2014-09-05 00:00:00.000"	55	"M"	"S"	"N"	0	"4760-139"	"BRAGA"	"V.N.FAMALICÃO"
"172"	"105488950"	"2009-03-12 00:00:00.000"	63	"M"	"M"	"N"	0	"4250-108"	"PORTO"	"PORTO"
